sentence,score
私 は 自分 に対し 素晴らしい 寄付 を し ます 。,10.19144665832135
私 は とても 面白い ので 投資 を し ます 。,10.152011274511509
私 は そして 素晴らしい 感じ で トレーニング を し ます 。,10.107986789504617
私 は とても いい 結婚 を し ます 。,10.065440158612512
私 は まさに あの 男 にとって 、 素晴らしい 素晴らしい 、 素晴らしい プレー を し ます 。,9.785247318320877
私 は しばしば 、 この 国 の 人間 として とても 良い 判断 を し ます 。,9.324658734666489
私 は 、 素晴らしい テニス 人生 を し ます 。,9.310961998870699
私 は 素晴らしい 冒険 を し ます 。,9.127660113131949
私 は この 本 を 読ん で 、 最後 に いい 思い を し ます 。,9.088782861559828
私 は いつも 「 いい 暮らし 」 を し ます 。,9.072619515284664
私 は こんな 心 を 持っ て いる くらい いい 勉強 を し ます 。,9.017824902111453
私 は これ によって この 地 へ 帰る に ふさわしい 振る舞い を し ます 。,9.006655905702221
私 は いつも 心根 が 優しく 、 みんな いい 方 を し ます 。,8.966717338293838
私 は 君 に対し 感謝 を し ます 。,8.954414018783666
私 は 、 楽しい 体操 を し ます 。,8.941156080690137
私 は 自分 より 先 に 少し ずつ 良い 働き を し ます 。,8.828614200248618
私 は とても 良い パフォーマンス を し ます 。,8.814039966439108
私 は 、 そして 最も 素晴らしい 言葉 で 、 拍手 を し ます 。,8.715518759163619
私 は 素晴らしい サッカー を し ます 。,8.71368527696233
私 は サイン を し ます 。,8.689584819380487
私 は 素晴らしい 英語 の スピーチ と トレーニング を し ます 。,8.681069581503811
私 は いつも 手助け を し ます 。,8.64848681553504
私 は いつも いい あたり を し ます 。,8.615340659042346
私 は 皆 彼女 を 思い 、 非常 に 素晴らしい 仕事 を し ます 。,8.61219809926076
私 は 楽しい 旅 を し ます 。,8.528896250251373
私 は 今 、 良い 仕事 を し ます 。,8.508267051169804
私 は 良い 体験 を し ます 。,8.454069888145398
私 は 素晴らしい 演奏 会 を し ます 。,8.415148191791783
私 は 素晴らしい 時間 の 記録 を し ます 。,8.413158121898878
私 は よく 素晴らしい 時 に 、 神 を よく もたらす 仕事 を し ます 。,8.39402268969572
私 は 彼 にとって 好き な 道 へ 行く 決心 を し ます 。,8.381280565643506
私 は もっと 良い 結婚 生活 を し ます 。,8.36264350971119
私 は とても とても 良い 感触 を し ます 。,8.352071734447478
私 は この 国 全体 を 周り 、 素晴らしい 貢献 を し ます 。,8.326663593801667
私 は 素晴らしい パフォーマンス を し ます 。,8.307583599499004
私 は いつも 、 とても いい 感じ 方 を し ます 。,8.227779680499719
私 は 彼 に 誠実 、 有能 な 指導 を し ます 。,8.157754649356612
私 は 彼 達 に は 良く 施し を し ます 。,8.148657002365555
私 は 彼 に 非常 に 良い 報告 を し ます 。,8.133749786070714
私 は いつも が やり たい ほど 素晴らしい もの の 準備 を し ます 。,8.099478787019478
私 は これ について 素晴らしい こと を し ます 。,8.098539550849
