seed,A_index,B_index,sentenceA,sentenceB,result
1824,0,0,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,A
1824,0,1,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は とても 面白い ので 投資 を し ます 。,A
1824,0,2,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は そして 素晴らしい 感じ で トレーニング を し ます 。,B
1824,0,3,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は とても いい 結婚 を し ます 。,A
1824,0,4,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は まさに あの 男 にとって 、 素晴らしい 素晴らしい 、 素晴らしい プレー を し ます 。,B
1824,0,5,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は しばしば 、 この 国 の 人間 として とても 良い 判断 を し ます 。,A
1824,0,6,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 、 素晴らしい テニス 人生 を し ます 。,B
1824,0,7,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 素晴らしい 冒険 を し ます 。,B
1824,0,8,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は この 本 を 読ん で 、 最後 に いい 思い を し ます 。,B
1824,0,9,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は いつも 「 いい 暮らし 」 を し ます 。,A
1824,0,10,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は こんな 心 を 持っ て いる くらい いい 勉強 を し ます 。,B
1824,0,11,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は これ によって この 地 へ 帰る に ふさわしい 振る舞い を し ます 。,B
1824,0,12,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は いつも 心根 が 優しく 、 みんな いい 方 を し ます 。,B
1824,0,13,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 君 に対し 感謝 を し ます 。,B
1824,0,14,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 、 楽しい 体操 を し ます 。,B
1824,0,15,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 自分 より 先 に 少し ずつ 良い 働き を し ます 。,B
1824,0,16,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は とても 良い パフォーマンス を し ます 。,A
1824,0,17,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 、 そして 最も 素晴らしい 言葉 で 、 拍手 を し ます 。,B
1824,0,18,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 素晴らしい サッカー を し ます 。,A
1824,0,19,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は サイン を し ます 。,A
1824,0,20,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 素晴らしい 英語 の スピーチ と トレーニング を し ます 。,A
1824,0,21,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は いつも 手助け を し ます 。,A
1824,0,22,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は いつも いい あたり を し ます 。,A
1824,0,23,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 皆 彼女 を 思い 、 非常 に 素晴らしい 仕事 を し ます 。,A
1824,0,24,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 楽しい 旅 を し ます 。,B
1824,0,25,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 今 、 良い 仕事 を し ます 。,A
1824,0,26,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 良い 体験 を し ます 。,A
1824,0,27,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 素晴らしい 演奏 会 を し ます 。,B
1824,0,28,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 素晴らしい 時間 の 記録 を し ます 。,B
1824,0,29,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は よく 素晴らしい 時 に 、 神 を よく もたらす 仕事 を し ます 。,A
1824,0,30,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 彼 にとって 好き な 道 へ 行く 決心 を し ます 。,B
1824,0,31,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は もっと 良い 結婚 生活 を し ます 。,A
1824,0,32,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は とても とても 良い 感触 を し ます 。,B
1824,0,33,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は この 国 全体 を 周り 、 素晴らしい 貢献 を し ます 。,A
1824,0,34,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 素晴らしい パフォーマンス を し ます 。,A
1824,0,35,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は いつも 、 とても いい 感じ 方 を し ます 。,B
1824,0,36,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 彼 に 誠実 、 有能 な 指導 を し ます 。,A
1824,0,37,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 彼 達 に は 良く 施し を し ます 。,A
1824,0,38,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は 彼 に 非常 に 良い 報告 を し ます 。,A
1824,0,39,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,私 は いつも が やり たい ほど 素晴らしい もの の 準備 を し ます 。,B
1824,1,0,私 は とても 面白い ので 投資 を し ます 。,私 は 自分 に対し 素晴らしい 寄付 を し ます 。,A
1824,1,1,私 は とても 面白い ので 投資 を し ます 。,私 は とても 面白い ので 投資 を し ます 。,A
1824,1,2,私 は とても 面白い ので 投資 を し ます 。,私 は そして 素晴らしい 感じ で トレーニング を し ます 。,B
1824,1,3,私 は とても 面白い ので 投資 を し ます 。,私 は とても いい 結婚 を し ます 。,A
1824,1,4,私 は とても 面白い ので 投資 を し ます 。,私 は まさに あの 男 にとって 、 素晴らしい 素晴らしい 、 素晴らしい プレー を し ます 。,B
1824,1,5,私 は とても 面白い ので 投資 を し ます 。,私 は しばしば 、 この 国 の 人間 として とても 良い 判断 を し ます 。,A
1824,1,6,私 は とても 面白い ので 投資 を し ます 。,私 は 、 素晴らしい テニス 人生 を し ます 。,B
1824,1,7,私 は とても 面白い ので 投資 を し ます 。,私 は 素晴らしい 冒険 を し ます 。,B
1824,1,8,私 は とても 面白い ので 投資 を し ます 。,私 は この 本 を 読ん で 、 最後 に いい 思い を し ます 。,B
1824,1,9,私 は とても 面白い ので 投資 を し ます 。,私 は いつも 「 いい 暮らし 」 を し ます 。,A
1824,1,10,私 は とても 面白い ので 投資 を し ます 。,私 は こんな 心 を 持っ て いる くらい いい 勉強 を し ます 。,B
1824,1,11,私 は とても 面白い ので 投資 を し ます 。,私 は これ によって この 地 へ 帰る に ふさわしい 振る舞い を し ます 。,B
1824,1,12,私 は とても 面白い ので 投資 を し ます 。,私 は いつも 心根 が 優しく 、 みんな いい 方 を し ます 。,B
1824,1,13,私 は とても 面白い ので 投資 を し ます 。,私 は 君 に対し 感謝 を し ます 。,A
1824,1,14,私 は とても 面白い ので 投資 を し ます 。,私 は 、 楽しい 体操 を し ます 。,B
1824,1,15,私 は とても 面白い ので 投資 を し ます 。,私 は 自分 より 先 に 少し ずつ 良い 働き を し ます 。,B
